LUND,['mc_v9-8GeV-1e-target_photonuclear_46040_t1589611148.root', '21.423MB', '3f26528b', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46041_t1589611232.root', '22.034MB', '47b42a72', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46366_t1589610782.root', '19.944MB', '04004393', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46367_t1589610529.root', '22.180MB', 'e30e20be', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46368_t1589610524.root', '20.863MB', '17916cc4', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46370_t1589610541.root', '20.992MB', '278415eb', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46371_t1589610537.root', '21.891MB', '0e04eb57', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46407_t1589610638.root', '19.170MB', '8f2bd457', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46410_t1589610648.root', '21.948MB', '89d74df9', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46411_t1589610631.root', '21.325MB', '23f4c38c', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46412_t1589610698.root', '21.893MB', '1097182c', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46413_t1589610731.root', '21.750MB', '76f877ef', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46414_t1589610607.root', '18.952MB', '917c4910', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46415_t1589611558.root', '23.983MB', '43971a1f', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46416_t1589610656.root', '22.427MB', 'b8ccf1d5', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46417_t1589610635.root', '20.411MB', '1389b054', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46418_t1589610622.root', '19.975MB', '97b5c1ad', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46463_t1589610624.root', '19.848MB', 'a8278305', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46571_t1589610933.root', '20.379MB', '4007ee25', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46593_t1589610843.root', '18.971MB', 'ecdb1440', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46594_t1589610859.root', '20.110MB', '9c105a65', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_46595_t1589611034.root', '23.157MB', '8a2c884c', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
